iter	Passed	Remaining
0	48	48848
1	97	48553
2	144	48165
3	192	47842
4	238	47511
5	285	47333
6	332	47173
7	379	47062
8	426	46998
9	473	46856
10	520	46761
11	567	46732
12	614	46650
13	661	46577
14	714	46917
15	763	46936
16	811	46947
17	860	46933
18	908	46929
19	957	46928
20	1006	46912
21	1053	46854
22	1101	46800
23	1150	46783
24	1198	46742
25	1245	46669
26	1295	46668
27	1343	46654
28	1391	46603
29	1446	46765
30	1500	46888
31	1547	46822
32	1594	46729
33	1641	46635
34	1687	46530
35	1735	46483
36	1783	46415
37	1830	46335
38	1877	46268
39	1924	46195
40	1973	46151
41	2019	46062
42	2065	45978
43	2112	45889
44	2158	45801
45	2203	45690
46	2248	45594
47	2293	45490
48	2339	45397
49	2384	45303
50	2430	45229
51	2477	45169
52	2525	45127
53	2573	45084
54	2621	45049
55	2671	45030
56	2723	45065
57	2779	45140
58	2841	45326
59	2903	45483
60	2953	45468
61	3003	45436
62	3050	45370
63	3097	45307
64	3144	45225
65	3189	45137
66	3235	45054
67	3281	44978
68	3328	44904
69	3350	44517
70	3397	44458
71	3444	44401
72	3492	44348
73	3539	44286
74	3586	44232
75	3634	44191
76	3683	44153
77	3731	44112
78	3779	44067
79	3828	44026
80	3876	43978
81	3924	43936
82	3973	43895
83	4021	43850
84	4068	43799
85	4116	43753
86	4164	43705
87	4213	43662
88	4260	43609
89	4307	43556
90	4355	43510
91	4403	43460
92	4450	43405
93	4497	43349
94	4545	43306
95	4593	43253
96	4640	43197
97	4687	43140
98	4734	43091
99	4781	43036
100	4828	42982
101	4876	42933
102	4924	42883
103	4970	42822
104	5015	42754
105	5061	42692
106	5107	42628
107	5153	42561
108	5198	42494
109	5244	42434
110	5290	42369
111	5336	42306
112	5381	42245
113	5427	42184
114	5473	42119
115	5519	42063
116	5566	42007
117	5613	41956
118	5660	41908
119	5708	41861
120	5755	41811
121	5802	41757
122	5848	41702
123	5895	41646
124	5942	41596
125	5990	41554
126	6040	41520
127	6089	41483
128	6138	41445
129	6186	41399
130	6234	41357
131	6255	41131
132	6303	41090
133	6351	41046
134	6399	41001
135	6421	40794
136	6470	40758
137	6517	40712
138	6565	40671
139	6614	40631
140	6661	40585
141	6709	40540
142	6757	40497
143	6803	40443
144	6849	40389
145	6895	40335
146	6915	40128
147	6961	40078
148	7008	40029
149	7054	39972
150	7101	39925
151	7148	39882
152	7196	39838
153	7244	39796
154	7291	39750
155	7338	39704
156	7385	39656
157	7432	39609
158	7479	39563
159	7527	39519
160	7575	39475
161	7620	39419
162	7666	39368
163	7712	39315
164	7758	39264
165	7804	39212
166	7824	39029
167	7845	38852
168	7891	38804
169	7936	38748
170	7982	38697
171	8028	38649
172	8074	38598
173	8119	38544
174	8165	38496
175	8212	38447
176	8258	38397
177	8303	38346
178	8350	38298
179	8396	38250
180	8441	38198
181	8487	38149
182	8534	38100
183	8581	38059
184	8628	38013
185	8647	37845
186	8693	37796
187	8739	37749
188	8787	37705
189	8833	37658
190	8879	37610
191	8925	37563
192	8971	37514
193	9017	37465
194	9063	37417
195	9082	37257
196	9133	37227
197	9182	37191
198	9204	37048
199	9251	37004
200	9298	36961
201	9346	36921
202	9393	36879
203	9441	36840
204	9488	36796
205	9536	36756
206	9583	36715
207	9631	36674
208	9678	36631
209	9726	36588
210	9773	36545
211	9821	36505
212	9867	36460
213	9891	36331
214	9938	36286
215	9986	36248
216	10012	36127
217	10060	36087
218	10108	36047
219	10156	36010
220	10204	35969
221	10251	35927
222	10276	35805
223	10308	35712
224	10355	35668
225	10402	35625
226	10449	35585
227	10497	35544
228	10544	35502
229	10594	35466
230	10642	35428
231	10674	35336
232	10721	35295
233	10769	35253
234	10816	35211
235	10865	35173
236	10912	35130
237	10960	35090
238	11007	35048
239	11055	35009
240	11103	34969
241	11151	34928
242	11199	34887
243	11247	34848
244	11294	34805
245	11317	34687
246	11365	34648
247	11412	34605
248	11459	34561
249	11506	34519
250	11556	34484
251	11582	34379
252	11629	34337
253	11677	34295
254	11725	34255
255	11772	34214
256	11819	34171
257	11867	34129
258	11914	34088
259	11938	33980
260	11985	33935
261	12009	33828
262	12057	33788
263	12104	33747
264	12128	33638
265	12175	33596
266	12222	33554
267	12270	33514
268	12317	33471
269	12364	33429
270	12412	33390
271	12460	33350
272	12509	33312
273	12557	33273
274	12606	33235
275	12653	33192
276	12701	33151
277	12749	33110
278	12796	33069
279	12844	33027
280	12890	32984
281	12938	32942
282	12985	32900
283	13032	32857
284	13080	32815
285	13128	32775
286	13176	32735
287	13225	32696
288	13273	32655
289	13322	32617
290	13370	32576
291	13394	32476
292	13443	32438
293	13468	32343
294	13517	32303
295	13563	32259
296	13609	32212
297	13628	32104
298	13673	32058
299	13719	32012
300	13765	31967
301	13811	31921
302	13856	31875
303	13902	31828
304	13922	31725
305	13968	31679
306	14014	31634
307	14059	31587
308	14105	31542
309	14151	31497
310	14170	31394
311	14190	31290
312	14235	31246
313	14281	31201
314	14327	31156
315	14372	31110
316	14417	31064
317	14463	31018
318	14509	30975
319	14531	30879
320	14577	30835
321	14623	30791
322	14643	30692
323	14673	30614
324	14720	30573
325	14766	30529
326	14786	30431
327	14831	30387
328	14850	30288
329	14897	30245
330	14942	30201
331	14964	30108
332	15009	30063
333	15056	30021
334	15102	29980
335	15149	29939
336	15197	29899
337	15245	29860
338	15294	29821
339	15342	29781
340	15390	29743
341	15439	29705
342	15488	29666
343	15535	29626
344	15582	29584
345	15628	29541
346	15676	29500
347	15724	29461
348	15772	29420
349	15819	29379
350	15867	29338
351	15915	29299
352	15963	29258
353	16010	29217
354	16058	29176
355	16106	29136
356	16154	29095
357	16201	29054
358	16233	28985
359	16258	28903
360	16306	28864
361	16354	28824
362	16402	28783
363	16450	28742
364	16497	28700
365	16544	28658
366	16591	28617
